"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' 太长，长度必须为%min%。"
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' 太短，长度必须为%min% 。"
"* Required Fields","*必填字段"
"<strong>%s</strong> requests access to your account","<strong>%s</strong>请求访问您的帐户"
"Admin","管理员"
"After authorization application will have access to you account.","授权后应用程序将可以访问您的帐户。"
"An error occurred on confirm authorize.","确认授权时发生错误。"
"An error occurred on delete action.","删除操作时发生错误。"
"An error occurred on delete application.","删除应用时发生错误。"
"An error occurred on reject authorize.","拒绝授权时发生错误。"
"An error occurred on saving consumer data.","保存客户数据时发生错误。"
"An error occurred on update revoke status.","更新撤销状态时发生错误。"
"An error occurred while deleting the consumer.","删除客户时发生错误。"
"An error occurred.","发生了一个错误。"
"An error occurred. Your authorization request is invalid.","错误：你的授权请求无效。"
"App Name","应用名称"
"Application "%s" has been deleted.","应用 %s 已删除。"
"Application "%s" has been enabled.","应用 %s 已启用。"
"Application "%s" has been revoked.","应用 %s 已撤销。"
"Application Name","应用名称"
"Application not found.","没有找到应用。"
"Are you sure you want to delete this application?","确定删除该应用吗？"
"Are you sure you want to disable this application?","确定禁用该应用吗？"
"Are you sure you want to enable this application?","确定启用该应用吗？"
"Authorization confirmed","授权确认"
"Authorization confirmed.","授权确认"
"Authorize","授权"
"Authorize application","应用授权"
"Authorized Tokens","授权令牌"
"Callback URL","回调地址"
"Cleanup Probability","清理概率"
"Cleanup Settings","清理设置"
"Close","关闭"
"Confirm OAuth token authorization","确认授权令牌"
"Confirm token authorization Pop Up for admin","为管理员打开新窗口确认授权令牌"
"Confirm token authorization for admin","确认授权令牌"
"Confirmation Of Authorization","确认授权"
"Consumer Information","消费者信息"
"Consumer Name","顾客姓名"
"Consumers","消费者"
"Created At","创建于"
"Current Admin Password","管理员密码"
"Customer","顾客"
"Customer My Account My OAuth Applications","我授权的应用"
"Delete","删除"
"Disable","禁用"
"Disabled","已禁用"
"Edit","编辑"
"Edit Consumer","编辑顾客"
"Email","邮件"
"Email Address","邮件地址"
"Enable","启用"
"Enabled","已启用"
"Entry with ID #%s not found.","实体ID #%s 未找到。"
"Expiration Period","使用期限"
"Give the verifier code to application administrator","给应用程序管理员验证器代码"
"ID","ID"
"Invalid Callback URL","无效的回调地址"
"Invalid ID parameter.","无效的合作伙伴ID"
"Invalid Rejected Callback URL","无效的拒绝回调URL"
"Invalid entry ID.","无效的实体ID"
"Invalid revoke status.","无效的撤销状态。"
"Key","Key"
"Log In","登录"
"Log in as a customer","以顾客身份登录"
"Log in as admin","以管理员身份登录"
"Log in as customer","以顾客身份登录"
"Log in to use <strong>%s</strong>","登录后使用<strong>%s</strong>"
"Login","登录"
"My Applications","我的应用"
"Name","名称"
"New Consumer","新客户"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin My Apps"
"OAuth Authorized Tokens","OAuth Authorized Tokens"
"OAuth Consumers","OAuth Consumers"
"OAuth authorization Pop Up for customer","OAuth authorization Pop Up for customer"
"OAuth authorization for admin","OAuth authorization for admin"
"OAuth authorization for customer","OAuth authorization for customer"
"OAuth authorization simple for admin","OAuth authorization simple for admin"
"Password","密码"
"Permissions","权限"
"Please login to proceed authorization.","请登录后继续完成授权"
"Please select needed row(s).","请选择需要的列"
"Please select revoke status.","请选择撤销状态。"
"REST - My Apps","REST - 我的应用"
"REST - OAuth Authorized Tokens","REST - OAuth授权令牌"
"REST - OAuth Consumers","REST - OAuth认证客户"
"Reject","拒绝"
"Reject OAuth token authorization","拒绝OAuth令牌授权"
"Reject authorization","拒绝授权"
"Reject token authorization Pop Up for admin","Reject token authorization Pop Up for admin"
"Reject token authorization for admin","Reject token authorization for admin"
"Rejected Callback URL","拒绝后回调地址"
"Rejection Of Authorization","授权已拒绝"
"Revoked","撤销"
"Role Name","角色名称"
"Save","保存"
"Save and Continue Edit","保存并继续编辑"
"Secret","保密"
"Selected entries enabled.","启用所选条目。"
"Selected entries has been deleted.","所选条目已删除。"
"Selected entries revoked.","所选条目已撤销。"
"Status","状态"
"System","系统"
"The application access request is rejected.","应用程序访问请求被拒绝。"
"The consumer has been deleted.","客户已被删除。"
"The consumer has been saved.","客户已保存"
"Token Status Change","令牌状态变化"
"Token Status Change Email Template","令牌状态改变的电子邮件模板"
"Unable to find a consumer.","没有找到客户"
"User ID","用户ID"
"User Name","用户姓名"
"User Type","用户类型"
"Verifier code: %s","验证码:%s"
"You have no applications.","你还没有应用。"
"deleted","已删除"
"enabled","已启用"
"revoked","已撤销"